,Strategy,Application,Module,Device,Instances,Delay,Network,EnergyConsumption,DeviceMaxCPU,DeviceCPUUsage,ModuleMIPS,ModuleRAM,TupleCpuLength,SEED,UplinkBandwidth,DownlinkBandwidth,UplinkLatency,TupleNwLength,DeviceLevel,Simulation,Rate,ModuleCpuLoad
2608,CB-E,DCNS,object_tracker,d-0,3,123.48,9269.35,10128.84,4000.0,3743.43,300,10,1069.55,428956419,10000.0,10000.0,50.0,100.0,1,4,0.5,534.775
2885,CB-E,DCNS,object_detector,d-1-0,1,511.8,10972.05,9966.94,2000.0,1841.55,550,10,1841.55,794161987,10000.0,10000.0,25.0,2000.0,1,6,0.5,920.775
1066,ELSA,DCNS,object_detector,d-0,2,429.37,87636.9,10312.0,4000.0,3811.69,550,10,2178.11,633816299,10000.0,10000.0,50.0,2000.0,1,9,0.5,1089.055
25,ELSA,DCNS,object_tracker,d-0,1,27.14,10848.7,3751.87,4000.0,1367.05,300,10,911.37,1835732737,10000.0,10000.0,50.0,100.0,1,1,0.5,455.685
3139,CB-E,VRGame,connector,d-1-0,8,0.0,4471.5,8780.92,2000.0,1620.56,100,10,920.78,794161987,10000.0,10000.0,25.0,1000.0,1,8,0.01,9.2078
3653,MGA,Translation_Service,processingModule,d-0,2,75.28,5216.5,2569.2,4000.0,926.32,2500,10,3602.37,1145661099,10000.0,10000.0,50.0,500.0,1,2,0.1,360.237
489,ELSA,DCNS,object_tracker,cloud,1,64.3,33213.8,3133.98,44800.0,489.86,300,10,911.37,1835732737,100.0,10000.0,0.0,100.0,0,3,0.5,455.685
1305,Edgewards,DCNS,user_interface,cloud,12,0.0,662237.3,73543.97,44800.0,19412.38,200,10,534.78,428956419,100.0,10000.0,0.0,2000.0,0,12,0.025,13.3695
2039,CB-E,DCNS,object_detector,d-1-0,1,803.17,9454.25,8369.32,2000.0,1543.87,550,10,2058.5,1145661099,10000.0,10000.0,25.0,2000.0,1,10,0.5,1029.25
530,ELSA,DCNS,object_detector,d-0,2,28.81,32532.6,9862.64,4000.0,3644.23,550,10,2082.42,1410143363,10000.0,10000.0,50.0,2000.0,1,3,0.5,1041.21
485,ELSA,Translation_Service,storageModule,d-0,3,0.0,8084.75,3812.08,4000.0,1389.48,1000,10,1029.25,1145661099,10000.0,10000.0,50.0,1000.0,1,3,0.1,102.925
2371,CB-E,VRGame,connector,d-1-0,12,0.0,4822.5,10016.2,2000.0,1850.73,100,10,1028.18,200496737,10000.0,10000.0,25.0,1000.0,1,12,0.01,10.2818
3696,MGA,Translation_Service,storageModule,d-0,2,0.0,5424.5,2598.09,4000.0,937.09,1000,10,1041.21,1410143363,10000.0,10000.0,50.0,1000.0,1,2,0.1,104.121
2395,CB-E,Translation_Service,processingModule,d-1-0,4,907.85,2523.0,10604.25,2000.0,1960.3,2500,10,3811.69,633816299,10000.0,10000.0,25.0,500.0,1,12,0.1,381.169
3620,MGA,VRGame,concentration_calculator,d-0,12,84.61,26210.25,7459.75,4000.0,2748.79,350,10,3644.23,1410143363,10000.0,10000.0,50.0,500.0,1,12,0.06,218.6538
